"['Qs']:[['Qh']]:[0, 2, 2],[1]","[0.333, 0.333, 0.333]"
"['Qs']:[['Qh']]:[0, 2, 2],[2]","[0.5, 0.5]"
"['As']:[['Qh']]:[0, 2, 2],[0, 1]","[0.0, 0.0, 1.0]"
"['Qs']:[['Qh']]:[0, 2, 2],[0, 1, 2]","[0.5, 0.5]"
"['As']:[['Qh']]:[3, 3],[]","[0.0, 1.0]"
"['Qs']:[['Qh']]:[3, 3],[0]","[0.5, 0.5]"
"['Qs']:[['Qh']]:[3, 3],[1]","[0.0, 1.0]"
"['Ks']:[['Qs']]:[2, 2],[]","[0.0, 0.0, 1.0]"
"['Ks']:[['Qs']]:[2, 2],[1, 2]","[0.0, 1.0]"
"['Ah']:[['Qs']]:[3, 3],[0]","[0.0, 1.0]"
"['Ks']:[['Qs']]:[3, 3],[0, 1]","[0.0, 1.0]"
